route_id,agency_id,direction_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,direction_name
39,0,1,39,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/39,4EA685,FFFFFF,Charny / Saint-Jean-Chrysostome
42E,0,0,42E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/42E,FFA400,FFFFFF,Cégep Garneau
42E,0,1,42E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/42E,FFA400,FFFFFF,Lévis centre / Station Galeries Chagnon
43E,0,0,43E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/43E,FFA400,FFFFFF,Cégep Garneau
43E,0,1,43E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/43E,FFA400,FFFFFF,PRB des Rivières / Station de la Concorde
65,0,0,65,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/65,4EA685,FFFFFF,PRB des Rivières
65,0,1,65,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/65,4EA685,FFFFFF,Saint-Lambert-de-Lauzon
ECQ,0,0,ECQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/ECQ,FFA400,FFFFFF,Colline Parlementaire
ELQ,0,0,ELQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/ELQ,FFA400,FFFFFF,Colline Parlementaire
ELQ,0,1,ELQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/ELQ,FFA400,FFFFFF,Lévis centre / Lauzon
EOQ,0,0,EOQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/EOQ,FFA400,FFFFFF,Colline Parlementaire
EOQ,0,1,EOQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/EOQ,FFA400,FFFFFF,PRB des Rivières / Saint-Étienne-de-Lauzon
ESQ,0,0,ESQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/ESQ,FFA400,FFFFFF,Colline Parlementaire
L1,0,0,L1,Lévisien 1,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L1,4EA685,FFFFFF,Parc industriel de Lauzon / Station de la Concorde
L1,0,1,L1,Lévisien 1,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L1,4EA685,FFFFFF,Terminus Lagueux
L2,0,0,L2,Lévisien 2,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L2,1E4289,FFFFFF,Sainte-Foy centre
L2,0,1,L2,Lévisien 2,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L2,1E4289,FFFFFF,Terminus de la Traverse / Station Galeries Chagnon
L3,0,0,L3,Lévisien 3,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L3,1E4289,FFFFFF,Sainte-Foy centre / Station de la Concorde
L3,0,1,L3,Lévisien 3,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L3,1E4289,FFFFFF,Terminus Lagueux
T1,0,0,T1,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T1,A47400,FFFFFF,Chemin des Îles / Rue Gravel (PM)
T1,0,1,T1,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T1,A47400,FFFFFF,Chemin des Îles / Rue Gravel (AM)
T15,0,0,T15,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T15,A47400,FFFFFF,Station Galeries Chagnon
T15,0,1,T15,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T15,A47400,FFFFFF,Pintendre
T2,0,0,T2,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T2,A47400,FFFFFF,Terminus de la Traverse
T2,0,1,T2,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T2,A47400,FFFFFF,Station Rivière Etchemin
T22,0,0,T22,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T22,A47400,FFFFFF,PRB des Rivières / Parc industriel de Bernières-Nord
T22,0,1,T22,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T22,A47400,FFFFFF,Saint-Nicolas - Bernières / PRB des Rivières
T31,0,1,T31,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T31,A47400,FFFFFF,Breakeyville / Station de la Concorde
T33,0,0,T33,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T33,A47400,FFFFFF,Sainte-Hélène-de-Breakeyville
T33,0,1,T33,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T33,A47400,FFFFFF,Vieux Chemin
T34,0,0,T34,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T34,A47400,FFFFFF,Station de la Concorde
T34,0,1,T34,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T34,A47400,FFFFFF,Saint-Romuald
T65,0,0,T65,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T65,A47400,FFFFFF,PRB Saint-Lambert-de-Lauzon
T65,0,1,T65,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T65,A47400,FFFFFF,du Parc / des Éperviers
T66,0,0,T66,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T66,A47400,FFFFFF,Sainte-Hélène-de-Breakeyville
T66,0,1,T66,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T66,A47400,FFFFFF,Saint-Lambert-de-Lauzon
BSR,0,0,BSR,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/BSR,C00000,FFFFFF,Festivent
BSR,0,1,BSR,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/BSR,C00000,FFFFFF,Aréna BSR
FEQ,0,0,FEQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/FEQ,C00000,FFFFFF,Navette FEQ
HONC,0,0,HONC,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/HONC,C00000,FFFFFF,Festivent
HONC,0,1,HONC,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/HONC,C00000,FFFFFF,Complexe 2 Glaces Honco
PAQ,0,0,PAQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/PAQ,C00000,FFFFFF,Quai Paquet
PAQ,0,1,PAQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/PAQ,C00000,FFFFFF,Stationnement Desjardins
RIVN,0,0,RIVN,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/RIVN,C00000,FFFFFF,Festivent
RIVN,0,1,RIVN,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/RIVN,C00000,FFFFFF,Rive-Nord - M.-Rollet
UQAR,0,0,UQAR,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/UQAR,C00000,FFFFFF,Festivent
UQAR,0,1,UQAR,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/UQAR,C00000,FFFFFF,UQAR
