stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
650640,65-640,des Érables - arrêt 65-0640,,46.641745,-71.234060,,,,,
650515,65-515,des Érables - arrêt 65-0515,,46.642681,-71.235080,,,,,
650505,65-505,des Érables / des Cerisiers,,46.638293,-71.233652,,,,,
650495,65-495,des Érables / Bouffard,,46.636520,-71.232431,,,,,
650485,65-485,des Érables / du Repos,,46.634819,-71.231292,,,,,
650475,65-475,des Érables / des Îles Nord,,46.632491,-71.230006,,,,,
650465,65-465,des Érables / des Îles Sud,,46.629910,-71.229884,,,,,
650455,65-455,des Érables / Beauséjour,,46.622831,-71.229319,,,,,
650445,65-445,des Érables / des Pins,,46.613751,-71.235808,,,,,
650435,65-435,des Érables / des Lilas,,46.607884,-71.238655,,,,,
650425,65-425,des Érables / Hébert,,46.604595,-71.238074,,,,,
650415,65-415,des Érables - arrêt 65-0415,,46.601328,-71.237755,,,,,
650405,65-405,des Érables - arrêt 65-0405,,46.598915,-71.233387,,,,,
650395,65-395,des Érables - arrêt 65-0395,,46.597551,-71.228123,,,,,
650385,65-385,des Érables - arrêt 65-0385,,46.595859,-71.222874,,,,,
650375,65-375,des Érables / des Chênes,,46.594040,-71.219746,,,,,
650365,65-365,des Érables / des Saules,,46.593057,-71.218080,,,,,
650355,65-355,des Érables - arrêt 65-0355,,46.591728,-71.215940,,,,,
650345,65-345,des Érables / des Cèdres,,46.589749,-71.213392,,,,,
650335,65-335,des Érables / du Pont,,46.587711,-71.212031,,,,,
650205,65-205,Bellevue / du Pont,,46.584920,-71.217025,,,,,
650195,65-195,Sylvain / Marie,,46.584058,-71.217850,,,,,
650185,65-185,Sylvain - arrêt 65-0185,,46.582280,-71.220437,,,,,
650175,65-175,Josée / Sylvain,,46.581450,-71.222239,,,,,
650165,65-165,du Pont - arrêt 65-0165,,46.579103,-71.226625,,,,,
650155,65-155,du Pont / St-Aimé,,46.575080,-71.232282,,,,,
650145,65-145,du Pont / des Aigrettes,,46.569567,-71.240335,,,,,
650135,65-135,du Pont / des Alouettes,,46.567340,-71.243749,,,,,
650125,65-125,du Pont / du Parc,,46.563937,-71.248645,,,,,
650115,65-115,du Pont - arrêt 65-0115,,46.561153,-71.252709,,,,,
650105,65-105,du Pont / des Bouvreuils,,46.558968,-71.255868,,,,,
650095,65-095,du Pont / des Bécassines,,46.556956,-71.258795,,,,,
650085,65-085,du Pont / Iberville,,46.552386,-71.264802,,,,,
650075,65-075,Iberville / des Chouettes,,46.554910,-71.268463,,,,,
650065,65-065,Iberville / des Hirondelles,,46.556612,-71.270993,,,,,
650055,65-055,des Hirondelles / des Éperviers,,46.557727,-71.269309,,,,,
650045,65-045,des Éperviers - arrêt 65-0045,,46.558172,-71.266735,,,,,
650035,65-035,des Éperviers / du Grand-Duc,,46.560467,-71.263264,,,,,
650025,65-025,des Éperviers - arrêt 65-0025,,46.562180,-71.260366,,,,,
650015,65-015,des Éperviers / du Petit-Duc,,46.564042,-71.257458,,,,,
650005,65-005,du Parc / des Éperviers,,46.567280,-71.252713,,,,,
190090,19-090,St-Augustin / Vieux Chemin,,46.649538,-71.241534,,,,,
220050,22-050,Filteau - arrêt 22-0050,,46.667183,-71.375178,,,,,
220060,22-060,Filteau / de l'Érablière,,46.668878,-71.370336,,,,,
220090,22-090,Vallières / Valroc,,46.671496,-71.368736,,,,,
220100,22-100,Vallières / Jamin,,46.670676,-71.371753,,,,,
220110,22-110,Jamin / Joce,,46.671568,-71.373281,,,,,
220120,22-120,Joce / Valroc,,46.673132,-71.370509,,,,,
220130,22-130,J.-R.-Tardif / Joce,,46.673790,-71.368697,,,,,
220140,22-140,J.-R.-Tardif / Vallières,,46.672346,-71.366899,,,,,
220150,22-150,Filteau / J.-R.-Tardif,,46.670809,-71.364746,,,,,
220160,22-160,Filteau / de Turin,,46.672140,-71.361045,,,,,
220240,22-240,de Nantes / Chouinard,,46.677011,-71.350760,,,,,
220260,22-260,Filteau / des Carrières,,46.678639,-71.350036,,,,,
220280,22-280,Olivier - arrêt 22-0280,,46.680557,-71.337234,,,,,
220290,22-290,Olivier - arrêt 22-0290,,46.681789,-71.333927,,,,,
220300,22-300,Olivier - arrêt 22-0300,,46.683921,-71.329533,,,,,
220310,22-310,Olivier - arrêt 22-0310,,46.685511,-71.326332,,,,,
220320,22-320,Olivier - arrêt 22-0320,,46.687318,-71.322656,,,,,
220330,22-330,Olivier - arrêt 22-0330,,46.689118,-71.319046,,,,,
220340,22-340,Olivier / F.-Pelletier,,46.690087,-71.317078,,,,,
220350,22-350,Olivier - arrêt 22-0350,,46.691657,-71.313947,,,,,
220360,22-360,Parc industriel de Bernières-Nord,,46.692780,-71.311665,,,,,
220370,22-370,Olivier / A.-Desrochers,,46.694072,-71.309050,,,,,
220380,22-380,Olivier - arrêt 22-0380,,46.695634,-71.305912,,,,,
220390,22-390,Olivier / J.-A.-Craig,,46.697014,-71.303111,,,,,
220400,22-400,Olivier / W.-G.-Ross,,46.698654,-71.301037,,,,,
220410,22-410,Olivier - arrêt 22-0410,,46.705398,-71.298504,,,,,
220420,22-420,de la Seine / Olivier,,46.708485,-71.298787,,,,,
220430,22-430,de la Seine / du Mans,,46.708116,-71.299768,,,,,
220490,22-490,de la Seine / de Bray,,46.705672,-71.305284,,,,,
220500,22-500,de la Seine / de la Sorbonne,,46.704681,-71.307588,,,,,
220510,22-510,de la Seine / de Limoges,,46.703142,-71.310129,,,,,
220520,22-520,de Limoges / de Fribourg,,46.704953,-71.311717,,,,,
220530,22-530,de Limoges / de Lausanne,,46.706496,-71.313154,,,,,
