route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
L2,71,387580,Sainte-Foy centre,,0,93,63196_1409683_1409740,1
L2,71,387581,Terminus de la Traverse,,1,93,63197_1425679_1425741,1
L3,71,387584,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,94,63202_1424833_1424888,1
L3,71,387585,Terminus Lagueux,,1,94,63199_1425963_1426021,1
L1,71,387586,Station de la Concorde,,0,94,63195_1424889_1424934,1
L2,71,387589,Sainte-Foy centre,,0,95,63196_1409683_1409740,1
L2,71,387590,Terminus de la Traverse,,1,95,63197_1425679_1425741,1
L2,71,387593,Sainte-Foy centre,,0,96,63196_1409683_1409740,1
L2,71,387594,Terminus de la Traverse,,1,96,63197_1425679_1425741,1
15,71,387595,Pintendre,,1,96,63340_1416117_1416173,2
15,71,387596,Station Galeries Chagnon,,0,96,63341_1411580_1411618,2
241,85,387599,Saint-Rédempteur,,1,97,62260_1417966_1417994,2
36E,71,387601,Charny,,1,97,63370_1426414_1426461,2
232,85,387604,Presqu'Ïle / St-Nicolas - Roc-Pointe,,1,98,62254_1411227_1411261,2
38E,71,387606,Saint-Jean-Chrysostome via Vanier,,1,98,62304_1425743_1425823,2
231,85,387609,Saint-Nicolas - Village,,1,99,62252_1411160_1411226,2
L3,71,387611,Terminus Lagueux,,1,99,63199_1425964_1426021,1
242,85,387614,Saint-Rédempteur,,1,100,62262_1418085_1418110,2
L1,71,387616,Station de la Concorde,,0,100,63195_1424889_1424934,1
39,71,387618,Charny / Saint-Jean-Chrysostome,,1,100,62307_1420761_1420788,2
222,85,387621,Saint-Nicolas / Saint-Rédempteur,,1,101,63327_1411018_1411054,2
385,83,387623,Saint-Jean-Chrysostome,,1,101,62302_1420601_1420639,2
221,85,387626,Saint-Nicolas - Bernières,,1,102,63329_1411347_1411391,2
L3,71,387628,Terminus Lagueux,,1,102,63199_1425964_1426021,1
L3,71,387630,Terminus Lagueux,,1,102,63199_1425964_1426021,1
131,85,387633,Saint-David / Pintendre,,1,103,63349_1422730_1422806,2
13,87,387635,Saint-David,,1,103,63351_1424801_1424832,2
111,85,387638,Saint-Romuald / Lauzon,,1,104,63366_1415215_1415282,2
119,87,387640,Lauzon,,1,104,63362_1414627_1414671,2
L3,71,387643,Sainte-Foy centre via Parc industriel de Bernières-Sud (pointe PM),,0,105,63200_1425038_1425093,1
34E,71,387644,Saint-Romuald,,1,105,63368_1426367_1426413,2
351,85,387647,Charny,,1,106,62286_1420909_1420963,2
39,71,387649,Charny / Saint-Jean-Chrysostome,,1,106,62307_1420761_1420788,2
L3,71,387651,Terminus Lagueux,,1,106,63199_1425964_1426021,1
L1,71,387652,Station de la Concorde,,0,106,63195_1424889_1424934,1
31,71,387654,Sainte-Hélène-de-Breakeyville,,1,106,62267_1421291_1421339,2
